codigo_postal,municipio_id,municipio_nombre,id_provincia,id_ccaa,Comunidad Autónoma,Provincia
43783,43110,"Pobla de Massaluca, La",43,9,Cataluña,Tarragona
49213,49064,Fariza,49,7,Castilla y León,Zamora
26120,26005,Albelda de Iregua,26,17,"Rioja, La","Rioja, La"
01001,01059,Vitoria-Gasteiz,01,16,País Vasco,Araba/Álava
01002,01059,Vitoria-Gasteiz,01,16,País Vasco,Araba/Álava
01003,01059,Vitoria-Gasteiz,01,16,País Vasco,Araba/Álava
01004,01059,Vitoria-Gasteiz,01,16,País Vasco,Araba/Álava
01005,01059,Vitoria-Gasteiz,01,16,País Vasco,Araba/Álava
01006,01059,Vitoria-Gasteiz,01,16,País Vasco,Araba/Álava
01007,01059,Vitoria-Gasteiz,01,16,País Vasco,Araba/Álava
01008,01059,Vitoria-Gasteiz,01,16,País Vasco,Araba/Álava
01009,01059,Vitoria-Gasteiz,01,16,País Vasco,Araba/Álava
01010,01059,Vitoria-Gasteiz,01,16,País Vasco,Araba/Álava
01012,01028,Labastida/Bastida,01,16,País Vasco,Araba/Álava
01012,01059,Vitoria-Gasteiz,01,16,País Vasco,Araba/Álava
01013,01059,Vitoria-Gasteiz,01,16,País Vasco,Araba/Álava
01015,01059,Vitoria-Gasteiz,01,16,País Vasco,Araba/Álava
01110,01017,Campezo/Kanpezu,01,16,País Vasco,Araba/Álava
01117,01017,Campezo/Kanpezu,01,16,País Vasco,Araba/Álava
01117,01056,Harana/Valle de Arana,01,16,País Vasco,Araba/Álava
01118,01016,Bernedo,01,16,País Vasco,Araba/Álava
01118,01030,Lagrán,01,16,País Vasco,Araba/Álava
01118,09109,Condado de Treviño,09,7,Castilla y León,Burgos
01120,01037,Arraia-Maeztu,01,16,País Vasco,Araba/Álava
01121,01014,Berantevilla,01,16,País Vasco,Araba/Álava
01128,01016,Bernedo,01,16,País Vasco,Araba/Álava
01128,01017,Campezo/Kanpezu,01,16,País Vasco,Araba/Álava
01128,01037,Arraia-Maeztu,01,16,País Vasco,Araba/Álava
