codigo_postal,municipio_id,municipio_nombre,id_provincia,id_ccaa,Comunidad Autónoma,Provincia
43,43110,"Pobla de Massaluca, La",4,1,Andalucía,Almería
85,49064,Fariza,4,1,Andalucía,Almería
633,26005,Albelda de Iregua,2,8,Castilla-La Mancha,Albacete
1001,1059,Vitoria-Gasteiz,1,16,País Vasco,Araba/Álava
1002,1059,Vitoria-Gasteiz,1,16,País Vasco,Araba/Álava
1003,1059,Vitoria-Gasteiz,1,16,País Vasco,Araba/Álava
1004,1059,Vitoria-Gasteiz,1,16,País Vasco,Araba/Álava
1005,1059,Vitoria-Gasteiz,1,16,País Vasco,Araba/Álava
1006,1059,Vitoria-Gasteiz,1,16,País Vasco,Araba/Álava
1007,1059,Vitoria-Gasteiz,1,16,País Vasco,Araba/Álava
1008,1059,Vitoria-Gasteiz,1,16,País Vasco,Araba/Álava
1009,1059,Vitoria-Gasteiz,1,16,País Vasco,Araba/Álava
1010,1059,Vitoria-Gasteiz,1,16,País Vasco,Araba/Álava
1012,1028,Labastida/Bastida,1,16,País Vasco,Araba/Álava
1012,1059,Vitoria-Gasteiz,1,16,País Vasco,Araba/Álava
1013,1059,Vitoria-Gasteiz,1,16,País Vasco,Araba/Álava
1015,1059,Vitoria-Gasteiz,1,16,País Vasco,Araba/Álava
1110,1017,Campezo/Kanpezu,1,16,País Vasco,Araba/Álava
1117,1017,Campezo/Kanpezu,1,16,País Vasco,Araba/Álava
1117,1056,Harana/Valle de Arana,1,16,País Vasco,Araba/Álava
1118,1016,Bernedo,1,16,País Vasco,Araba/Álava
1118,1030,Lagrán,1,16,País Vasco,Araba/Álava
1118,9109,Condado de Treviño,9,7,Castilla y León,Burgos
1120,1037,Arraia-Maeztu,1,16,País Vasco,Araba/Álava
1121,1014,Berantevilla,1,16,País Vasco,Araba/Álava
1128,1016,Bernedo,1,16,País Vasco,Araba/Álava
1128,1017,Campezo/Kanpezu,1,16,País Vasco,Araba/Álava
1128,1037,Arraia-Maeztu,1,16,País Vasco,Araba/Álava
1129,1037,Arraia-Maeztu,1,16,País Vasco,Araba/Álava
1130,1063,Zuia,1,16,País Vasco,Araba/Álava
1138,1018,Zigoitia,1,16,País Vasco,Araba/Álava
1139,1063,Zuia,1,16,País Vasco,Araba/Álava
1160,1003,Aramaio,1,16,País Vasco,Araba/Álava
1165,1003,Aramaio,1,16,País Vasco,Araba/Álava
1169,1003,Aramaio,1,16,País Vasco,Araba/Álava
1170,1058,Legutio,1,16,País Vasco,Araba/Álava
1171,1058,Legutio,1,16,País Vasco,Araba/Álava
1191,1059,Vitoria-Gasteiz,1,16,País Vasco,Araba/Álava
1191,1901,Iruña Oka/Iruña de Oca,1,16,País Vasco,Araba/Álava
1192,1021,Elburgo/Burgelu,1,16,País Vasco,Araba/Álava
1192,1059,Vitoria-Gasteiz,1,16,País Vasco,Araba/Álava
1193,1001,Alegría-Dulantzi,1,16,País Vasco,Araba/Álava
1193,1021,Elburgo/Burgelu,1,16,País Vasco,Araba/Álava
1193,1027,Iruraiz-Gauna,1,16,País Vasco,Araba/Álava
1193,1059,Vitoria-Gasteiz,1,16,País Vasco,Araba/Álava
1194,1016,Bernedo,1,16,País Vasco,Araba/Álava
1194,1059,Vitoria-Gasteiz,1,16,País Vasco,Araba/Álava
1195,1059,Vitoria-Gasteiz,1,16,País Vasco,Araba/Álava
1195,1901,Iruña Oka/Iruña de Oca,1,16,País Vasco,Araba/Álava
1196,1018,Zigoitia,1,16,País Vasco,Araba/Álava
1196,1059,Vitoria-Gasteiz,1,16,País Vasco,Araba/Álava
1200,1051,Agurain/Salvatierra,1,16,País Vasco,Araba/Álava
1206,1013,Barrundia,1,16,País Vasco,Araba/Álava
1206,1027,Iruraiz-Gauna,1,16,País Vasco,Araba/Álava
1207,1027,Iruraiz-Gauna,1,16,País Vasco,Araba/Álava
1207,1051,Agurain/Salvatierra,1,16,País Vasco,Araba/Álava
1207,1053,San Millán/Donemiliaga,1,16,País Vasco,Araba/Álava
1208,1009,Asparrena,1,16,País Vasco,Araba/Álava
1208,1013,Barrundia,1,16,País Vasco,Araba/Álava
1208,1053,San Millán/Donemiliaga,1,16,País Vasco,Araba/Álava
1208,1061,Zalduondo,1,16,País Vasco,Araba/Álava
1211,1006,Armiñón,1,16,País Vasco,Araba/Álava
1211,1014,Berantevilla,1,16,País Vasco,Araba/Álava
1211,1030,Lagrán,1,16,País Vasco,Araba/Álava
1211,1044,Peñacerrada-Urizaharra,1,16,País Vasco,Araba/Álava
1211,9109,Condado de Treviño,9,7,Castilla y León,Burgos
1212,1014,Berantevilla,1,16,País Vasco,Araba/Álava
1212,1028,Labastida/Bastida,1,16,País Vasco,Araba/Álava
1212,1044,Peñacerrada-Urizaharra,1,16,País Vasco,Araba/Álava
1212,1062,Zambrana,1,16,País Vasco,Araba/Álava
1213,1046,Erriberagoitia/Ribera Alta,1,16,País Vasco,Araba/Álava
1213,1047,Ribera Baja/Erribera Beitia,1,16,País Vasco,Araba/Álava
1213,1902,Lantarón,1,16,País Vasco,Araba/Álava
1216,1016,Bernedo,1,16,País Vasco,Araba/Álava
1216,1044,Peñacerrada-Urizaharra,1,16,País Vasco,Araba/Álava
1220,1006,Armiñón,1,16,País Vasco,Araba/Álava
1220,1014,Berantevilla,1,16,País Vasco,Araba/Álava
1220,1046,Erriberagoitia/Ribera Alta,1,16,País Vasco,Araba/Álava
1220,1047,Ribera Baja/Erribera Beitia,1,16,País Vasco,Araba/Álava
1230,1901,Iruña Oka/Iruña de Oca,1,16,País Vasco,Araba/Álava
1240,1001,Alegría-Dulantzi,1,16,País Vasco,Araba/Álava
1250,1009,Asparrena,1,16,País Vasco,Araba/Álava
1260,1009,Asparrena,1,16,País Vasco,Araba/Álava
1300,1031,Laguardia,1,16,País Vasco,Araba/Álava
1306,1033,Lapuebla de Labarca,1,16,País Vasco,Araba/Álava
1307,1011,Baños de Ebro/Mañueta,1,16,País Vasco,Araba/Álava
1307,1052,Samaniego,1,16,País Vasco,Araba/Álava
1307,1057,Villabuena de Álava/Eskuernaga,1,16,País Vasco,Araba/Álava
1308,1019,Kripan,1,16,País Vasco,Araba/Álava
1308,1031,Laguardia,1,16,País Vasco,Araba/Álava
1308,1032,Lanciego/Lantziego,1,16,País Vasco,Araba/Álava
1309,1023,Elvillar/Bilar,1,16,País Vasco,Araba/Álava
1309,1031,Laguardia,1,16,País Vasco,Araba/Álava
1309,1034,Leza,1,16,País Vasco,Araba/Álava
1309,1041,Navaridas,1,16,País Vasco,Araba/Álava
1320,1043,Oyón-Oion,1,16,País Vasco,Araba/Álava
1321,1031,Laguardia,1,16,País Vasco,Araba/Álava
1322,1039,Moreda de Álava/Moreda Araba,1,16,País Vasco,Araba/Álava
1322,1043,Oyón-Oion,1,16,País Vasco,Araba/Álava
1322,1060,Yécora/Iekora,1,16,País Vasco,Araba/Álava
1330,1028,Labastida/Bastida,1,16,País Vasco,Araba/Álava
